2025-03-27 23:54:17 INFO  consumer.consumer.KafkaConsumer - Message[title=msg, description=msg from Lera, senderName=Lera, senderAge=20] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470252, productId=ETH-USD, price=1910.81, open24h=2025.05, volume24h=146874.87356568, low24h=1901.82, high24h=2030.69, volume30d=4800886.23544128, bestBid=1910.76, bestBidSize=2.12407530, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952138, lastSize=0.52333694] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470254, productId=ETH-USD, price=1910.76, open24h=2025.05, volume24h=146876.99764098, low24h=1901.82, high24h=2030.69, volume30d=4800888.35951658, bestBid=1910.75, bestBidSize=0.92386209, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952139, lastSize=2.1240753] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470256, productId=ETH-USD, price=1910.75, open24h=2025.05, volume24h=146877.92150307, low24h=1901.82, high24h=2030.69, volume30d=4800889.28337867, bestBid=1910.74, bestBidSize=0.78552957, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952140, lastSize=0.92386209] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470258, productId=ETH-USD, price=1910.74, open24h=2025.05, volume24h=146877.92199916, low24h=1901.82, high24h=2030.69, volume30d=4800889.28387476, bestBid=1910.74, bestBidSize=0.78503348, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952141, lastSize=0.00049609] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470260, productId=ETH-USD, price=1910.74, open24h=2025.05, volume24h=146878.70703264, low24h=1901.82, high24h=2030.69, volume30d=4800890.06890824, bestBid=1910.72, bestBidSize=2.61576732, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952142, lastSize=0.78503348] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470262, productId=ETH-USD, price=1910.72, open24h=2025.05, volume24h=146881.32279996, low24h=1901.82, high24h=2030.69, volume30d=4800892.68467556, bestBid=1910.70, bestBidSize=3.82993031, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952143, lastSize=2.61576732] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470264, productId=ETH-USD, price=1910.7, open24h=2025.05, volume24h=146883.94421558, low24h=1901.82, high24h=2030.69, volume30d=4800895.30609118, bestBid=1910.70, bestBidSize=1.20851469, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952144, lastSize=2.62141562] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470266, productId=ETH-USD, price=1910.7, open24h=2025.05, volume24h=146885.15273027, low24h=1901.82, high24h=2030.69, volume30d=4800896.51460587, bestBid=1910.68, bestBidSize=4.24719015, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952145, lastSize=1.20851469] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470268, productId=ETH-USD, price=1910.68, open24h=2025.05, volume24h=146887.01149249, low24h=1901.82, high24h=2030.69, volume30d=4800898.37336809, bestBid=1910.68, bestBidSize=2.38842793, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952146, lastSize=1.85876222] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470270, productId=ETH-USD, price=1910.68, open24h=2025.05, volume24h=146888.09149249, low24h=1901.82, high24h=2030.69, volume30d=4800899.45336809, bestBid=1910.68, bestBidSize=1.30842793, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952147, lastSize=1.08] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470272, productId=ETH-USD, price=1910.68, open24h=2025.05, volume24h=146889.39992042, low24h=1901.82, high24h=2030.69, volume30d=4800900.76179602, bestBid=1910.67, bestBidSize=0.64518283, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952148, lastSize=1.30842793] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470274, productId=ETH-USD, price=1910.67, open24h=2025.05, volume24h=146890.04510325, low24h=1901.82, high24h=2030.69, volume30d=4800901.40697885, bestBid=1910.63, bestBidSize=1.31846446, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952149, lastSize=0.64518283] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470276, productId=ETH-USD, price=1910.63, open24h=2025.05, volume24h=146890.05510325, low24h=1901.82, high24h=2030.69, volume30d=4800901.41697885, bestBid=1910.63, bestBidSize=1.30846446, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952150, lastSize=0.01] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470278, productId=ETH-USD, price=1910.63, open24h=2025.05, volume24h=146891.36356771, low24h=1901.82, high24h=2030.69, volume30d=4800902.72544331, bestBid=1910.61, bestBidSize=0.71850800, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952151, lastSize=1.30846446] ,getKafkaMessage method
